sip_property,description,units,type,valid_range,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
chemical_name,Chemical name,na,string,na,Atrazine,Chlorothalonil,Chlorpyriphos,Diazinon,Endosulfan a,EPTC,Ethoprop,Malathion,Methamidiphos,Methyl Parathion
pc_code,Chemical PC Code,na,string,na,80803,81901,59101,57801,79401,41401,41101,57701,101201,53501
solubility,Solubility in water at 25 C,mg/L,float,"[0,inf)",35,0.81,1.05,60,0.32,370,1300,148,200000,55
ld50_mammal_water,Mammalian LD50 water (mg/kg-bw),mg/kg-bw,float,"[0,inf)",1869,5000,64,1139,38,916,32.9,1778,30,3
bodyweight_tested_mammal,Body weight (g) of mammalian species,g,float,"[0,inf)",350,350,350,350,350,350,350,350,350,350
noael_mammal_water,Mammalian NOAEL (mg/kg-bw),mg/kg-diet,float,"[0,inf)",10,3,1,5,0.75,16.3,0.1,34.4,0.1,0.1
noael_bodyweight_tested_mammal,Body weight (g) of mammalian species (NOAEL),g,float,"[0,inf)",350,350,350,350,350,350,350,350,350,350
ld50_avian_water,Avian LD50 (mg/kg-bw),mg/kg-bw,float,"[0,inf)",4237,2000,13.3,1.44,111,1000,6.04,359,10,1044
bodyweight_tested_bird,Body weight (g) of avian species,g,float,"[0,inf)",178,1580,178,1580,178,178,1580,178,1580,178
mineau_scaling_factor,Mineau scaling factor,unitless,float,"(1,inf)",1.15,2,2,1.15,1.15,2,1.15,1.15,2,2
noaec_duck,Mallard duck NOAEC (mg/kg-diet),mg/kg-diet,float,"[0,inf)",225,10000,25,8.3,30,242,40,1200,15,14.7
noaec_quail,Northern bobwhite quail NOAEC (mg/kg-diet),mg/kg-diet,float,"[0,inf)",225,153,25,32,64,591,0.952,110,3,6.27
noaec_bird_other_1,NOAEC (mg/kg-diet) for other bird species,mg/kg-diet,float,"[0,inf)",,,,,,,,,,
bodyweight_bird_other_1,Body weight (g) of other avian species,g,float,"[0,inf)",,,,,,,,,,
noaec_bird_other_2,NOAEC (mg/kg-diet) for 2nd other bird species,mg/kg-diet,float,"[0,inf)",,,,,,,,,,
bodyweight_bird_other_2,Body weight (g) of 2nd other avian species,g,float,"[0,inf)",,,,,,,,,,
fw_bird_out,fw_bird_out,L,float,"[0,inf)",,,,,,,,,,
