original property,terrplant property,units,type,valid range,run1,run2,run3
model,model,,,,terrplant,terrplant,terrplant
version_terrplant,version_terrplant,,,,1.2.2,1.2.2,1.2.2
chemical_name,chemical_name,,,,Alachlor,Alachlor,Alachlor
pc_code,pc_code,,,,90501,90501,90501
use,use,,,,Corn,Corn,Corn
application_method,application_method,,,,Ground,Ground,Ground
application_form,application_form,,,,Spray,Spray,Spray
sol,solubility,,,,240,240,240
I,incorporation_depth,,,,1,1,1
A,application_rate,,,,4,4,4
D,drift_fraction,,,,0.01,0.01,0.01
R,runoff_fraction,,,,0.05,0.05,0.05
nms,ec25_nonlisted_seedling_emergence_monocot,,,,0.0067,0.0067,0.0067
nds,noaec_listed_seedling_emergence_monocot,,,,0.034,0.034,0.034
lms,ec25_nonlisted_seedling_emergence_dicot,,,,0.0023,0.0023,0.0023
lds,noaec_listed_seedling_emergence_dicot,,,,0.019,0.019,0.019
nmv,ec25_nonlisted_vegetative_vigor_monocot,,,,0.068,0.068,0.068
ndv,noaec_listed_vegetative_vigor_monocot,,,,1.4,1.4,1.4
lmv,ec25_nonlisted_vegetative_vigor_dicot,,,,0.037,0.037,0.037
ldv,noaec_listed_vegetative_vigor_dicot,,,,0.67,0.67,0.67
rundry_results,out_rundry,,,,,,
runsemi_results,out_runsemi,,,,,,
spray_results,out_spray,,,,,,
totaldry_results,out_totaldry,,,,,,
totalsemi_results,out_totalsemi,,,,,,
nmsRQdry_results,out_nms_rq_dry,,,,,,
lmsRQdry_results,out_lms_rq_dry,,,,,,
ndsRQdry_results,out_nds_rq_dry,,,,,,
ldsRQdry_results,out_lds_rq_dry,,,,,,
nmsRQsemi_results,out_nms_rq_semi,,,,,,
lmsRQsemi_results,out_lms_rq_semi,,,,,,
ndsRQsemi_results,out_nds_rq_semi,,,,,,
ldsRQsemi_results,out_lds_rq_semi,,,,,,
nmsRQspray_results,out_nms_rq_spray,,,,,,
lmsRQspray_results,out_lms_rq_spray,,,,,,
ndsRQspray_results,out_nds_rq_spray,,,,,,
ldsRQspray_results,out_lds_rq_spray,,,,,,
LOCnmsdry_results,out_nms_loc_dry,,String,,,,
LOCnmssemi_results,out_nms_loc_semi,,String,,,,
LOCnmsout_spray,out_nms_loc_spray,,String,,,,
LOClmsdry_results,out_lms_loc_dry,,String,,,,
LOClmssemi_results,out_lms_loc_semi,,String,,,,
LOClmsout_spray,out_lms_loc_spray,,String,,,,
LOCndsdry_results,out_nds_loc_dry,,String,,,,
LOCndssemi_results,out_nds_loc_semi,,String,,,,
LOCndsout_spray,out_nds_loc_spray,,String,,,,
LOCldsdry_results,out_lds_loc_dry,,String,,,,
LOCldssemi_results,out_lds_loc_semi,,String,,,,
LOCldsout_spray,out_lds_loc_spray,,String,,,,
rundry_results,exp_rundry,,,,0.2,0.2,0.2
runsemi_results,exp_runsemi,,,,2,2,2
spray_results,exp_spray,,,,0.04,0.04,0.04
totaldry_results,exp_totaldry,,,,0.24,0.24,0.24
totalsemi_results,exp_totalsemi,,,,2.04,2.04,2.04
nmsRQdry_results,exp_nms_rq_dry,,,,35.82,35.82,35.82
lmsRQdry_results,exp_lms_rq_dry,,,,104.35,104.35,104.35
ndsRQdry_results,exp_nds_rq_dry,,,,7.06,7.06,7.06
ldsRQdry_results,exp_lds_rq_dry,,,,12.63,12.63,12.63
nmsRQsemi_results,exp_nms_rq_semi,,,,304.48,304.48,304.48
lmsRQsemi_results,exp_lms_rq_semi,,,,886.96,886.96,886.96
ndsRQsemi_results,exp_nds_rq_semi,,,,60,60,60
ldsRQsemi_results,exp_lds_rq_semi,,,,107.37,107.37,107.37
nmsRQspray_results,exp_nms_rq_spray,,,,5.97,5.97,5.97
lmsRQspray_results,exp_lms_rq_spray,,,,17.39,17.39,17.39
ndsRQspray_results,exp_nds_rq_spray,,,,1.18,1.18,1.18
ldsRQspray_results,exp_lds_rq_spray,,,,2.11,2.11,2.11
